"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,217
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,218
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,219
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,220
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,221
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,222
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,223
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,224
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,225
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,226
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,227
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,228
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,229
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,230
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,231
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,232
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,233
31.1556,33.3595,36.4128,1.50035,31.3918,33.6238,35.8198,30.9418,33.3718,37.2418,31.1165,-166.64,0.0484923,234
30.9624,33.055,36.2872,1.31974,31.3378,33.1738,35.7478,30.7438,32.9758,36.8818,31.1165,-166.64,0.0402635,235
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,236
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,237
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,238
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,239
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,240
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,241
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,242
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,243
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,244
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,245
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,246
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,247
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,248
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,249
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,250
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,251
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,252
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,253
27.6124,26.7509,39.0968,4.38367,27.1978,25.8298,36.8458,27.9358,27.3778,40.9677,27.6049,91.7724,0.217087,254
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,255
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,256
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,257
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,258
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,259
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,260
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,261
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,262
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,263
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,264
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,265
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,266
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,267
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,268
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,269
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,270
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,271
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,272
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,273
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,274
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,275
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,276
27.6491,25.9528,38.8977,5.01292,27.4498,25.0738,36.2878,27.9898,26.8378,41.0037,27.6049,91.7724,0.187857,277
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,278
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,279
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,280
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,281
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,282
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,283
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,284
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,285
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,286
