"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0.0991015,3.74207,27.6049,91.7724,540,""
0.069353,4.02098,27.6049,91.7724,541,""
0.0658247,3.14185,27.6049,91.7724,542,""
0.0507492,3.04144,27.6049,91.7724,543,""
0.0521955,3.3881,27.6049,91.7724,544,""
0.0439142,2.42675,27.6049,91.7724,545,""
0.0379424,3.19267,27.6049,91.7724,546,""
0.0445091,3.07766,27.6049,91.7724,547,""
0.0126202,1.34371,27.6049,91.7724,548,""
0.0380707,2.52423,27.6049,91.7724,549,""
0.038164,1.27513,27.6049,91.7724,550,""
0.0376858,2.78468,27.6049,91.7724,551,""
0.0392079,2.44401,27.6049,91.7724,552,""
0.0390446,2.23484,27.6049,91.7724,553,""
0.03074,2.43866,27.6049,91.7724,554,""
0.0342158,2.33795,27.6049,91.7724,555,""
0.0512449,2.6827,27.6049,91.7724,556,""
0.025048,1.27,27.6049,91.7724,557,""
0.0317256,2.19695,27.6049,91.7724,558,""
0.0492388,2.5242,27.6049,91.7724,559,""
0.0430803,2.64205,27.6049,91.7724,560,""
0.0483523,2.65924,27.6049,91.7724,561,""
0.0222604,1.89632,34.0544,142.221,562,""
0.0361286,2.25164,34.0544,142.221,563,""
0.0307108,2.2517,27.6049,91.7724,564,""
0.0417739,2.53535,27.6049,91.7724,565,""
0.0505859,2.66446,27.6049,91.7724,566,""
0.0231352,2.18113,27.6049,91.7724,567,""
0.0209832,2.01489,27.6049,91.7724,568,""
0,-inf,5.72958,180,569,""
0.0161427,1.38017,34.0544,142.221,570,""
0.0118679,1.55538,27.6049,91.7724,571,""
0.00698662,0.875027,34.0544,142.221,572,""
0.0311307,2.66203,27.6049,91.7724,573,""
0.0360878,2.69708,27.6049,91.7724,574,""
0.0229077,2.42855,27.6049,91.7724,575,""
0.0196768,1.51213,27.6049,91.7724,576,""
0.0280748,2.078,34.0544,142.221,577,""
0.099189,2.78525,27.6049,91.7724,578,""
0,-inf,5.72958,180,579,""
0.0593338,3.30007,27.6049,91.7724,580,""
0.126739,4.09336,22.6546,29.5546,581,""
0.0674518,2.62069,27.6049,91.7724,582,""
0.0568319,1.78066,22.6546,29.5546,583,""
0.0473726,2.36301,47.4118,55.3851,584,""
0.0238117,1.58113,22.6546,29.5546,585,""
0.0256837,2.25428,27.6049,91.7724,586,""
0.101417,2.90532,47.4118,55.3851,587,""
0.101207,2.01083,47.4118,55.3851,588,""
0.046976,1.91925,47.4118,55.3851,589,""
0.0657664,2.23166,47.4118,55.3851,590,""
0.0735053,2.24209,47.4118,55.3851,591,""
0.05454,2.42401,47.4118,55.3851,592,""
0.101825,2.77061,47.4118,55.3851,593,""
0.0440659,2.1774,47.4118,55.3851,594,""
0.0976144,3.04349,27.6049,91.7724,595,""
0.0743859,3.09304,47.4118,55.3851,596,""
0.0237067,1.69952,47.4118,55.3851,597,""
0.0332535,1.61679,27.6049,91.7724,598,""
0.0274216,1.69053,27.6049,91.7724,599,""
0.031743,2.04917,27.6049,91.7724,600,""
0.0476583,2.04705,47.4118,55.3851,601,""
0.0469585,1.5591,27.6049,91.7724,602,""
0.0832679,2.65336,27.6049,91.7724,603,""
0.0147139,1.02857,27.6049,91.7724,604,""
0.0129702,0.66467,34.0544,142.221,605,""
0.0106374,0.735672,27.6049,91.7724,606,""
0.0423863,2.211,27.6049,91.7724,607,""
0.124785,3.39474,27.6049,91.7724,608,""
0.082084,2.39053,27.6049,91.7724,609,""
0.0941386,3.70322,27.6049,91.7724,610,""
0.0407708,2.28329,27.6049,91.7724,611,""
0.0512274,2.86268,27.6049,91.7724,612,""
0.0946751,4.0894,27.6049,91.7724,613,""
0.0493962,1.83167,47.4118,55.3851,614,""
0.0564645,2.97315,27.6049,91.7724,615,""
0.0408875,3.13581,27.6049,91.7724,616,""
0.0460895,1.65936,47.4118,55.3851,617,""
0.0315214,2.38399,47.4118,55.3851,618,""
0.0938645,2.88208,47.4118,55.3851,619,""
0.0914151,2.62857,47.4118,55.3851,620,""
0.136968,2.59706,47.4118,55.3851,621,""
0.0412899,1.61375,47.4118,55.3851,622,""
0,-inf,5.72958,180,623,""
0,-inf,5.72958,180,624,""
0,-inf,5.72958,180,625,""
0.0144398,1.23688,47.4118,55.3851,626,""
0.0674693,2.82281,27.6049,91.7724,627,""
0.0546158,2.39342,27.6049,91.7724,628,""
0.0654398,2.22782,27.6049,91.7724,629,""
0.0683499,3.41567,27.6049,91.7724,630,""
0.0456113,3.22366,27.6049,91.7724,631,""
0.0262202,2.35564,27.6049,91.7724,632,""
0.0275266,1.41806,47.4118,55.3851,633,""
0.133201,2.7756,47.4118,55.3851,634,""
0,-inf,5.72958,180,635,""
0.0898696,2.92123,47.4118,55.3851,636,""
0.0447482,2.54999,47.4118,55.3851,637,""
0.12717,2.3901,47.4118,55.3851,638,""
0.0653231,2.38892,47.4118,55.3851,639,""
0.0889773,3.15646,47.4118,55.3851,640,""
